Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,168,168.0701754385965,5,59.875,0,7.125
100,169,169.19642857142858,4,47.375,0,7.0
100,170,170.2380952380952,3,35.75,0,7.0
100,171,171.07142857142858,5,59.875,0,7.0
100,172,172.12121212121215,3,35.5,0,6.875
100,173,173.1818181818182,4,47.625,0,6.875
100,174,174.1818181818182,5,59.875,0,6.875
100,175,175.1851851851852,5,59.125,0,6.75
100,176,175.92592592592592,1,11.875,0,6.75
100,177,177.1604938271605,3,35.875,0,6.75
100,178,177.77777777777777,1,12.0,0,6.75
100,179,179.24528301886792,1,11.875,0,6.625
100,180,180.18867924528303,2,23.875,0,6.625
100,181,181.1320754716981,1,12.0,0,6.625
100,182,182.21153846153845,4,47.375,0,6.5
100,183,183.17307692307693,4,47.625,0,6.5
100,184,184.23076923076923,5,59.875,0,6.5
100,185,185.09803921568627,5,59.0,0,6.375
100,186,185.88235294117646,5,59.25,0,6.375
100,187,187.05882352941177,5,59.625,0,6.375
100,188,188.23529411764707,1,12.0,0,6.375
100,189,189.2,5,59.125,0,6.25
100,190,190.0,1,11.875,0,6.25
100,191,191.2,5,59.75,0,6.25
100,192,192.0,1,12.0,0,6.25
100,193,193.19727891156464,3,35.5,0,6.125
100,194,193.87755102040816,1,11.875,0,6.125
100,195,195.23809523809527,3,35.875,0,6.125
100,196,195.91836734693877,1,12.0,0,6.125
100,197,197.22222222222226,3,35.5,0,6.0
100,198,197.91666666666666,1,11.875,0,6.0
100,199,199.16666666666666,5,59.75,0,6.0
100,200,200.0,1,12.0,0,6.0
100,201,201.06382978723406,2,23.625,0,5.875
100,202,202.12765957446808,1,11.875,0,5.875
100,203,203.19148936170214,2,23.875,0,5.875
100,204,203.82978723404256,5,59.875,0,5.875
100,205,205.2173913043478,5,59.0,0,5.75
100,206,206.08695652173913,5,59.25,0,5.75
100,207,207.2463768115942,3,35.75,0,5.75
100,208,208.15217391304347,4,47.875,0,5.75
100,209,208.88888888888889,1,11.75,0,5.625
100,210,210.22222222222223,5,59.125,0,5.625
100,211,211.11111111111111,1,11.875,0,5.625
100,212,212.22222222222223,2,23.875,0,5.625
100,213,212.88888888888889,5,59.875,0,5.625
100,214,214.20454545454547,4,47.125,0,5.5
