Input Frequency,Desired Frequency,Real Frequency,D,M,O
125,246,245.83333333333334,1,7.375,3.75
125,247,246.7948717948718,1,9.625,4.875
125,248,247.76785714285714,2,13.875,3.5
125,249,248.77450980392157,2,25.375,6.375
125,250,250.0,1,6.5,3.25
125,251,251.22549019607843,3,25.625,4.25
125,252,252.23214285714286,2,14.125,3.5
125,253,253.2051282051282,1,9.875,4.875
125,254,254.16666666666666,1,7.625,3.75
125,255,254.80769230769232,1,6.625,3.25
125,256,256.0975609756098,1,10.5,5.125
125,257,257.14285714285717,1,9.0,4.375
125,258,258.06451612903226,1,8.0,3.875
125,259,258.92857142857144,1,7.25,3.5
125,260,260.0,1,6.5,3.125
125,261,261.02941176470586,1,8.875,4.25
125,262,262.0967741935484,1,8.125,3.875
125,263,262.9310344827586,1,7.625,3.625
125,264,263.8888888888889,1,7.125,3.375
125,265,265.0,1,6.625,3.125
125,266,266.1290322580645,1,8.25,3.875
125,267,267.2413793103448,1,7.75,3.625
125,268,267.85714285714283,1,7.5,3.5
125,269,269.2307692307692,1,7.0,3.25
125,270,270.0,1,6.75,3.125
125,271,270.8333333333333,1,6.5,3.0
125,272,272.05882352941177,1,9.25,4.25
125,273,273.14814814814815,1,7.375,3.375
125,274,274.03846153846155,1,7.125,3.25
125,275,275.0,1,6.875,3.125
125,276,276.0416666666667,1,6.625,3.0
125,277,276.7857142857143,1,7.75,3.5
125,278,277.77777777777777,1,7.5,3.375
125,279,278.84615384615387,1,7.25,3.25
125,280,280.0,1,7.0,3.125
125,281,280.7971014492754,3,19.375,2.875
125,282,282.14285714285717,1,9.875,4.375
125,283,283.0882352941176,1,9.625,4.25
125,284,284.09090909090907,1,9.375,4.125
125,285,285.0,1,7.125,3.125
125,286,286.1842105263158,1,10.875,4.75
125,287,287.037037037037,1,7.75,3.375
125,288,288.04347826086956,1,6.625,2.875
125,289,288.7931034482759,1,8.375,3.625
125,290,290.0,1,7.25,3.125
125,291,290.7608695652174,2,13.375,2.875
125,292,292.22972972972974,2,21.625,4.625
125,293,293.1034482758621,1,8.5,3.625
125,294,294.11764705882354,1,10.0,4.25
125,295,295.0,1,7.375,3.125
125,296,295.8333333333333,1,8.875,3.75
125,297,296.875,1,7.125,3.0
125,298,298.0769230769231,1,7.75,3.25
125,299,298.9130434782609,1,6.875,2.875
