Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,183,183.24922360248448,7,295,2,23
100,184,184.24883540372673,7,296,41,23
100,185,185.24966032608697,8,340,55,23
100,186,186.24805900621118,7,299,55,23
100,187,187.2486413043478,10,430,43,23
100,188,187.82608695652175,5,216,0,23
100,189,189.2489346590909,8,333,5,22
100,190,190.24959415584416,7,292,63,22
100,191,191.24842171717174,9,378,43,22
100,192,192.24964488636363,8,338,23,22
100,193,193.24573863636363,10,425,9,22
100,194,194.2471590909091,1,42,47,22
100,195,195.2493686868687,9,386,38,22
100,196,196.24763257575754,6,259,3,22
100,197,197.2470238095238,1,41,27,21
100,198,198.24735449735448,9,374,44,21
100,199,199.2485119047619,10,418,27,21
100,200,200.2480158730159,3,126,10,21
100,201,201.24834656084658,9,380,23,21
100,202,202.2486772486772,9,382,16,21
100,203,203.2490079365079,3,128,3,21
100,204,204.24933862433863,9,386,2,21
100,205,205.24966931216932,9,387,59,21
100,206,206.2421875,10,412,31,20
100,207,207.2482638888889,9,373,3,20
100,208,208.24776785714283,7,291,35,20
100,209,209.248046875,8,334,51,20
100,210,210.24739583333331,6,252,19,20
100,211,211.2421875,10,422,31,20
100,212,212.2482638888889,9,382,3,20
100,213,213.24776785714283,7,298,35,20
100,214,214.248046875,8,342,51,20
100,215,215.24739583333331,6,258,19,20
100,216,216.0,5,216,0,20
100,217,217.24917763157896,4,165,7,19
100,218,218.2483552631579,10,414,43,19
100,219,219.2434210526316,1,41,42,19
100,220,220.24853801169587,9,376,40,19
100,221,221.24794407894737,8,336,19,19
100,222,222.24963450292398,9,380,3,19
100,223,223.24953007518798,7,296,59,19
100,224,224.24958881578948,8,340,55,19
100,225,225.24671052631578,1,42,51,19
100,226,226.24725877192978,6,257,59,19
100,227,227.2478070175439,3,129,34,19
100,228,228.24900793650795,7,287,38,18
100,229,229.24479166666666,10,412,41,18
100,230,230.2469135802469,9,373,0,18
100,231,231.24131944444446,10,416,15,18
100,232,232.24826388888889,2,83,39,18
100,233,233.24652777777777,1,41,63,18
100,234,234.24961419753086,9,379,31,18
100,235,235.24305555555554,1,42,22,18
100,236,236.24751984126982,7,297,43,18
100,237,237.24922839506175,9,384,22,18
100,238,238.24869791666666,8,343,5,18
100,239,239.24851190476193,7,301,29,18
100,240,240.0,5,216,0,18
100,241,241.2479575163399,9,369,7,17
100,242,242.2487745098039,3,123,35,17
100,243,243.249591503268,9,372,11,17
100,244,244.24894957983196,7,290,42,17
100,245,245.24816176470588,10,416,59,17
100,246,246.24693627450978,6,251,11,17
100,247,247.24264705882354,1,42,2,17
100,248,248.24448529411765,10,422,1,17
100,249,249.249387254902,6,254,15,17
100,250,250.24947478991598,7,297,51,17
100,251,251.2473739495798,7,298,63,17
100,252,252.24673202614377,9,385,60,17
100,253,253.24754901960787,3,129,10,17
100,254,254.11764705882354,5,216,0,17
